generator,seed,method,edge_auc,pair_auc,precision_at_k,shd,lag_accuracy,true_edges,edge_density
nonlinear_var,1,VAR-Lasso,0.9982142857142857,0.9947916666666666,0.9285714285714286,4.0,1.0,28.0,0.16666666666666666
nonlinear_var,1,Granger-F,0.9989795918367347,0.9973958333333334,0.9285714285714286,4.0,1.0,28.0,0.16666666666666666
nonlinear_var,1,DynVAR-Lasso,0.9734693877551021,0.94921875,0.75,14.0,0.9583333333333334,28.0,0.16666666666666666
nonlinear_var,1,DynGranger-F,0.9864795918367347,0.9908854166666666,0.8928571428571429,6.0,0.9583333333333334,28.0,0.16666666666666666
nonlinear_var,1,STCG-v1,0.988265306122449,0.98046875,0.8928571428571429,6.0,0.9583333333333334,28.0,0.16666666666666666
nonlinear_var,2,VAR-Lasso,1.0,1.0,1.0,0.0,1.0,23.0,0.13690476190476192
nonlinear_var,2,Granger-F,1.0,1.0,1.0,0.0,1.0,23.0,0.13690476190476192
nonlinear_var,2,DynVAR-Lasso,0.9922038980509745,0.983957219251337,0.9565217391304348,2.0,1.0,23.0,0.13690476190476192
nonlinear_var,2,DynGranger-F,1.0,1.0,1.0,0.0,1.0,23.0,0.13690476190476192
nonlinear_var,2,STCG-v1,0.9982008995502248,0.9946524064171123,0.9565217391304348,2.0,1.0,23.0,0.13690476190476192
nonlinear_var,3,VAR-Lasso,0.9972711485983627,0.9897435897435898,0.9655172413793104,2.0,1.0,29.0,0.17261904761904762
nonlinear_var,3,Granger-F,0.9883403621930043,0.9743589743589743,0.9655172413793104,2.0,1.0,29.0,0.17261904761904762
nonlinear_var,3,DynVAR-Lasso,0.9796576531877946,0.9551282051282052,0.8275862068965517,10.0,1.0,29.0,0.17261904761904762
nonlinear_var,3,DynGranger-F,0.9930538327958323,0.985897435897436,0.9310344827586207,4.0,0.9615384615384616,29.0,0.17261904761904762
nonlinear_var,3,STCG-v1,0.9928057553956835,0.985897435897436,0.896551724137931,6.0,1.0,29.0,0.17261904761904762
nonlinear_var,4,VAR-Lasso,0.997020585048754,0.9921875,0.9615384615384616,2.0,1.0,26.0,0.15476190476190477
nonlinear_var,4,Granger-F,0.9997291440953413,1.0,0.9615384615384616,2.0,1.0,26.0,0.15476190476190477
nonlinear_var,4,DynVAR-Lasso,0.9710184182015168,0.9505208333333334,0.9230769230769231,4.0,0.9583333333333334,26.0,0.15476190476190477
nonlinear_var,4,DynGranger-F,0.9916034669555797,0.9752604166666666,0.9230769230769231,4.0,1.0,26.0,0.15476190476190477
nonlinear_var,4,STCG-v1,0.9861863488624052,0.96875,0.9230769230769231,4.0,1.0,26.0,0.15476190476190477
nonlinear_var,5,VAR-Lasso,0.9956597222222222,0.9986111111111111,0.9166666666666666,4.0,1.0,24.0,0.14285714285714285
nonlinear_var,5,Granger-F,0.9945023148148148,1.0,0.9583333333333334,2.0,1.0,24.0,0.14285714285714285
nonlinear_var,5,DynVAR-Lasso,0.9505208333333334,0.9513888888888888,0.75,12.0,1.0,24.0,0.14285714285714285
nonlinear_var,5,DynGranger-F,0.9892939814814815,1.0,0.9166666666666666,4.0,1.0,24.0,0.14285714285714285
nonlinear_var,5,STCG-v1,0.9704861111111112,0.9763888888888889,0.8333333333333334,8.0,1.0,24.0,0.14285714285714285
nonlinear_var,6,VAR-Lasso,0.9381818181818182,0.964625850340136,0.88,6.0,1.0,25.0,0.1488095238095238
nonlinear_var,6,Granger-F,0.926993006993007,1.0,0.92,4.0,0.9523809523809523,25.0,0.1488095238095238
nonlinear_var,6,DynVAR-Lasso,0.8995804195804196,0.8653061224489796,0.72,14.0,1.0,25.0,0.1488095238095238
nonlinear_var,6,DynGranger-F,0.9485314685314685,0.9591836734693877,0.8,10.0,0.9523809523809523,25.0,0.1488095238095238
nonlinear_var,6,STCG-v1,0.928951048951049,0.9238095238095239,0.76,12.0,1.0,25.0,0.1488095238095238
nonlinear_var,7,VAR-Lasso,0.9995703544575725,1.0,0.9714285714285714,2.0,1.0,35.0,0.20833333333333334
nonlinear_var,7,Granger-F,0.9974221267454351,1.0,0.9714285714285714,2.0,1.0,35.0,0.20833333333333334
nonlinear_var,7,DynVAR-Lasso,0.9903329752953813,0.9923371647509579,0.8857142857142857,8.0,1.0,35.0,0.20833333333333334
nonlinear_var,7,DynGranger-F,0.9804511278195489,1.0,0.8857142857142857,8.0,1.0,35.0,0.20833333333333334
nonlinear_var,7,STCG-v1,0.9935553168635876,0.9974457215836526,0.9142857142857143,6.0,1.0,35.0,0.20833333333333334
nonlinear_var,8,VAR-Lasso,0.9985507246376811,1.0,0.9666666666666667,2.0,0.9583333333333334,30.0,0.17857142857142858
nonlinear_var,8,Granger-F,0.9975845410628019,0.9973958333333334,0.9333333333333333,4.0,1.0,30.0,0.17857142857142858
nonlinear_var,8,DynVAR-Lasso,0.9821256038647344,0.9817708333333334,0.8333333333333334,10.0,0.9583333333333334,30.0,0.17857142857142858
nonlinear_var,8,DynGranger-F,0.9736714975845411,0.9713541666666666,0.8333333333333334,10.0,0.9583333333333334,30.0,0.17857142857142858
nonlinear_var,8,STCG-v1,0.9830917874396136,0.9895833333333334,0.9,6.0,0.9583333333333334,30.0,0.17857142857142858
nonlinear_var,9,VAR-Lasso,0.9995290793501295,1.0,0.967741935483871,2.0,1.0,31.0,0.18452380952380953
nonlinear_var,9,Granger-F,0.9974099364257123,1.0,0.967741935483871,2.0,1.0,31.0,0.18452380952380953
nonlinear_var,9,DynVAR-Lasso,0.9896397457028491,0.9802371541501976,0.8709677419354839,8.0,1.0,31.0,0.18452380952380953
nonlinear_var,9,DynGranger-F,0.9818695549799858,0.9776021080368906,0.9032258064516129,6.0,1.0,31.0,0.18452380952380953
nonlinear_var,9,STCG-v1,0.9936425712267483,0.9881422924901185,0.9354838709677419,4.0,1.0,31.0,0.18452380952380953
nonlinear_var,10,VAR-Lasso,0.9990076903994046,0.9973262032085561,0.9655172413793104,2.0,1.0,29.0,0.17261904761904762
nonlinear_var,10,Granger-F,0.9997519225998511,1.0,0.9655172413793104,2.0,1.0,29.0,0.17261904761904762
nonlinear_var,10,DynVAR-Lasso,0.9804018853882411,0.9719251336898396,0.896551724137931,6.0,1.0,29.0,0.17261904761904762
nonlinear_var,10,DynGranger-F,0.9923096005953858,1.0,0.9310344827586207,4.0,1.0,29.0,0.17261904761904762
nonlinear_var,10,STCG-v1,0.9880922847928554,0.9879679144385026,0.9310344827586207,4.0,1.0,29.0,0.17261904761904762
nonlinear_var,11,VAR-Lasso,0.927834008097166,0.8985507246376812,0.7368421052631579,20.0,0.9393939393939394,38.0,0.2261904761904762
nonlinear_var,11,Granger-F,0.9445344129554656,0.922266139657444,0.7894736842105263,16.0,0.9393939393939394,38.0,0.2261904761904762
nonlinear_var,11,DynVAR-Lasso,0.937246963562753,0.9038208168642952,0.7631578947368421,18.0,0.9393939393939394,38.0,0.2261904761904762
nonlinear_var,11,DynGranger-F,0.9307692307692308,0.9156785243741765,0.7894736842105263,16.0,0.9393939393939394,38.0,0.2261904761904762
nonlinear_var,11,STCG-v1,0.944331983805668,0.9169960474308301,0.7631578947368421,18.0,0.9696969696969697,38.0,0.2261904761904762
nonlinear_var,12,VAR-Lasso,1.0,1.0,1.0,0.0,1.0,26.0,0.15476190476190477
nonlinear_var,12,Granger-F,1.0,1.0,1.0,0.0,1.0,26.0,0.15476190476190477
nonlinear_var,12,DynVAR-Lasso,0.997020585048754,0.9959183673469387,0.9615384615384616,2.0,1.0,26.0,0.15476190476190477
nonlinear_var,12,DynGranger-F,0.9959371614301191,0.9931972789115646,0.9230769230769231,4.0,1.0,26.0,0.15476190476190477
nonlinear_var,12,STCG-v1,0.9994582881906826,1.0,0.9615384615384616,2.0,1.0,26.0,0.15476190476190477
nonlinear_var,13,VAR-Lasso,1.0,1.0,1.0,0.0,1.0,31.0,0.18452380952380953
nonlinear_var,13,Granger-F,1.0,1.0,1.0,0.0,1.0,31.0,0.18452380952380953
nonlinear_var,13,DynVAR-Lasso,0.9842241582293384,0.9602564102564103,0.8387096774193549,10.0,1.0,31.0,0.18452380952380953
nonlinear_var,13,DynGranger-F,0.9983517777254532,0.9935897435897436,0.9354838709677419,4.0,1.0,31.0,0.18452380952380953
nonlinear_var,13,STCG-v1,0.992465269602072,0.9794871794871794,0.8709677419354839,8.0,1.0,31.0,0.18452380952380953
nonlinear_var,14,VAR-Lasso,0.9981612818492251,0.9934123847167325,0.9259259259259259,4.0,1.0,27.0,0.16071428571428573
nonlinear_var,14,Granger-F,0.9952718676122931,0.9894598155467721,0.8888888888888888,6.0,1.0,27.0,0.16071428571428573
nonlinear_var,14,DynVAR-Lasso,0.9810874704491725,0.9525691699604744,0.8518518518518519,8.0,1.0,27.0,0.16071428571428573
nonlinear_var,14,DynGranger-F,0.9884423430522721,0.9815546772068511,0.8518518518518519,8.0,0.9130434782608695,27.0,0.16071428571428573
nonlinear_var,14,STCG-v1,0.9889676910953507,0.9710144927536232,0.8518518518518519,8.0,1.0,27.0,0.16071428571428573
nonlinear_var,15,VAR-Lasso,0.9759837962962963,0.9444444444444444,0.8333333333333334,8.0,1.0,24.0,0.14285714285714285
nonlinear_var,15,Granger-F,0.9502314814814815,0.9707602339181286,0.875,6.0,0.9444444444444444,24.0,0.14285714285714285
nonlinear_var,15,DynVAR-Lasso,0.9351851851851852,0.9210526315789473,0.8333333333333334,8.0,0.9444444444444444,24.0,0.14285714285714285
nonlinear_var,15,DynGranger-F,0.9363425925925926,0.9342105263157895,0.8333333333333334,8.0,0.9444444444444444,24.0,0.14285714285714285
nonlinear_var,15,STCG-v1,0.9473379629629629,0.9269005847953217,0.875,6.0,0.9444444444444444,24.0,0.14285714285714285
nonlinear_var,16,VAR-Lasso,0.9233488372093023,0.9166666666666666,0.7674418604651163,20.0,1.0,43.0,0.25595238095238093
nonlinear_var,16,Granger-F,0.9471627906976744,0.9609375,0.8604651162790697,12.0,1.0,43.0,0.25595238095238093
nonlinear_var,16,DynVAR-Lasso,0.8682790697674418,0.8294270833333334,0.6046511627906976,34.0,0.9375,43.0,0.25595238095238093
nonlinear_var,16,DynGranger-F,0.9713488372093023,0.9479166666666666,0.8372093023255814,14.0,0.96875,43.0,0.25595238095238093
nonlinear_var,16,STCG-v1,0.8993488372093024,0.875,0.6511627906976745,30.0,0.96875,43.0,0.25595238095238093
nonlinear_var,17,VAR-Lasso,0.9929762949956101,0.9782886334610472,0.9117647058823529,6.0,1.0,34.0,0.20238095238095238
nonlinear_var,17,Granger-F,0.992756804214223,0.9719029374201787,0.9411764705882353,4.0,1.0,34.0,0.20238095238095238
nonlinear_var,17,DynVAR-Lasso,0.9760755048287972,0.9782886334610472,0.8529411764705882,10.0,0.9655172413793104,34.0,0.20238095238095238
nonlinear_var,17,DynGranger-F,0.983099209833187,0.9731800766283525,0.9117647058823529,6.0,0.9655172413793104,34.0,0.20238095238095238
nonlinear_var,17,STCG-v1,0.9863915715539947,0.9770114942528736,0.8823529411764706,8.0,0.9655172413793104,34.0,0.20238095238095238
nonlinear_var,18,VAR-Lasso,0.995290793501295,0.9858064516129033,0.9354838709677419,4.0,1.0,31.0,0.18452380952380953
nonlinear_var,18,Granger-F,0.9908170473275253,0.9754838709677419,0.9032258064516129,6.0,1.0,31.0,0.18452380952380953
nonlinear_var,18,DynVAR-Lasso,0.9740993642571226,0.9638709677419355,0.9032258064516129,6.0,0.96,31.0,0.18452380952380953
nonlinear_var,18,DynGranger-F,0.9854014598540146,0.9716129032258064,0.8709677419354839,8.0,0.96,31.0,0.18452380952380953
nonlinear_var,18,STCG-v1,0.9828113962797269,0.9638709677419355,0.9032258064516129,6.0,0.96,31.0,0.18452380952380953
nonlinear_var,19,VAR-Lasso,0.9933404940923738,0.9655172413793104,0.9142857142857143,6.0,1.0,35.0,0.20833333333333334
nonlinear_var,19,Granger-F,0.9834586466165414,0.9591315453384419,0.9142857142857143,6.0,0.9259259259259259,35.0,0.20833333333333334
nonlinear_var,19,DynVAR-Lasso,0.9551020408163265,0.8773946360153256,0.7714285714285715,16.0,1.0,35.0,0.20833333333333334
nonlinear_var,19,DynGranger-F,0.9838882921589689,0.9527458492975734,0.8857142857142857,8.0,0.9629629629629629,35.0,0.20833333333333334
nonlinear_var,19,STCG-v1,0.9791621911922663,0.9272030651340997,0.8285714285714286,12.0,1.0,35.0,0.20833333333333334
switching_var,0,VAR-Lasso,0.8278168410221232,0.8375,0.6326530612244898,36.0,0.7777777777777778,49.0,0.2916666666666667
switching_var,0,Granger-F,0.824043903275596,0.8388888888888889,0.6122448979591837,38.0,0.7777777777777778,49.0,0.2916666666666667
switching_var,0,DynVAR-Lasso,0.8626307665923513,0.8875,0.6938775510204082,30.0,0.8333333333333334,49.0,0.2916666666666667
switching_var,0,DynGranger-F,0.8590293260161207,0.8777777777777778,0.6938775510204082,30.0,0.8611111111111112,49.0,0.2916666666666667
switching_var,0,STCG-v1,0.9037900874635568,0.9305555555555556,0.7346938775510204,26.0,0.8888888888888888,49.0,0.2916666666666667
switching_var,1,VAR-Lasso,0.7774528914879792,0.8536585365853658,0.6296296296296297,40.0,0.7560975609756098,54.0,0.32142857142857145
switching_var,1,Granger-F,0.7784275503573749,0.8504065040650407,0.6296296296296297,40.0,0.7560975609756098,54.0,0.32142857142857145
switching_var,1,DynVAR-Lasso,0.7691682910981157,0.8390243902439024,0.6111111111111112,42.0,0.7804878048780488,54.0,0.32142857142857145
switching_var,1,DynGranger-F,0.7652696556205328,0.8308943089430895,0.6111111111111112,42.0,0.7804878048780488,54.0,0.32142857142857145
switching_var,1,STCG-v1,0.7941845354126056,0.8845528455284553,0.6851851851851852,34.0,0.7804878048780488,54.0,0.32142857142857145
switching_var,2,VAR-Lasso,0.8242705570291777,0.8703125,0.6923076923076923,32.0,0.725,52.0,0.30952380952380953
switching_var,2,Granger-F,0.8194628647214854,0.853125,0.6923076923076923,32.0,0.725,52.0,0.30952380952380953
switching_var,2,DynVAR-Lasso,0.8433355437665783,0.9203125,0.6923076923076923,32.0,0.825,52.0,0.30952380952380953
switching_var,2,DynGranger-F,0.8355437665782494,0.9140625,0.7115384615384616,30.0,0.825,52.0,0.30952380952380953
switching_var,2,STCG-v1,0.8575928381962865,0.9,0.7692307692307693,24.0,0.85,52.0,0.30952380952380953
switching_var,3,VAR-Lasso,0.7003217404626935,0.79421768707483,0.5901639344262295,50.0,0.6904761904761905,61.0,0.3630952380952381
