switch_period,seed,method,edge_auc,pair_auc,precision_at_k,shd,lag_accuracy,true_edges,edge_density,state_count,state_improvement,temporal_coherence,oracle_window_purity
150,7,STCG-v1,0.7048768225238814,0.8027777777777778,0.5490196078431373,46.0,0.7222222222222222,51.0,0.30357142857142855,2,0.21590945314702076,0.6597222222222223,nan
150,7,Oracle-state upper bound,0.7016926428691135,0.8513888888888889,0.5686274509803921,44.0,0.75,51.0,0.30357142857142855,nan,nan,nan,0.5
150,8,DynVAR-Lasso,0.6912225705329154,0.6907993966817496,0.5517241379310345,52.0,0.717948717948718,58.0,0.34523809523809523,nan,nan,nan,nan
150,8,STCG-v1,0.6945141065830721,0.7073906485671192,0.5517241379310345,52.0,0.6923076923076923,58.0,0.34523809523809523,2,0.23005742221882491,0.6597222222222223,nan
150,8,Oracle-state upper bound,0.6692789968652038,0.6726998491704375,0.5172413793103449,56.0,0.6410256410256411,58.0,0.34523809523809523,nan,nan,nan,0.5
150,9,DynVAR-Lasso,0.6871473354231975,0.7821637426900585,0.5344827586206896,54.0,0.7105263157894737,58.0,0.34523809523809523,nan,nan,nan,nan
150,9,STCG-v1,0.6656739811912226,0.7470760233918129,0.5172413793103449,56.0,0.631578947368421,58.0,0.34523809523809523,2,0.221114835110928,0.18333333333333326,nan
150,9,Oracle-state upper bound,0.6799373040752351,0.72953216374269,0.5517241379310345,52.0,0.7105263157894737,58.0,0.34523809523809523,nan,nan,nan,0.5
300,0,DynVAR-Lasso,0.8379351740696278,0.7722222222222223,0.6122448979591837,38.0,0.8055555555555556,49.0,0.2916666666666667,nan,nan,nan,nan
300,0,STCG-v1,0.836220202366661,0.85,0.6938775510204082,30.0,0.7777777777777778,49.0,0.2916666666666667,2,0.2073021808035214,0.0,nan
300,0,Oracle-state upper bound,0.8432515863488252,0.7875,0.6326530612244898,36.0,0.7777777777777778,49.0,0.2916666666666667,nan,nan,nan,0.7857142857142857
300,1,DynVAR-Lasso,0.8019818063677713,0.9186991869918699,0.5740740740740741,46.0,0.7317073170731707,54.0,0.32142857142857145,nan,nan,nan,nan
300,1,STCG-v1,0.7821637426900585,0.8617886178861789,0.5925925925925926,44.0,0.7804878048780488,54.0,0.32142857142857145,2,0.21716749647261974,0.6597222222222223,nan
300,1,Oracle-state upper bound,0.8198505523066927,0.9284552845528455,0.6666666666666666,36.0,0.8048780487804879,54.0,0.32142857142857145,nan,nan,nan,0.7857142857142857
300,2,DynVAR-Lasso,0.8461538461538461,0.9109375,0.6730769230769231,34.0,0.7,52.0,0.30952380952380953,nan,nan,nan,nan
300,2,STCG-v1,0.8168103448275862,0.8953125,0.6538461538461539,36.0,0.725,52.0,0.30952380952380953,2,0.21671288597075516,0.0,nan
300,2,Oracle-state upper bound,0.8168103448275862,0.8953125,0.6538461538461539,36.0,0.725,52.0,0.30952380952380953,nan,nan,nan,0.7857142857142857
300,3,DynVAR-Lasso,0.7352535621265512,0.7551020408163265,0.6229508196721312,46.0,0.8095238095238095,61.0,0.3630952380952381,nan,nan,nan,nan
300,3,STCG-v1,0.7220775241305347,0.7891156462585034,0.5901639344262295,50.0,0.7380952380952381,61.0,0.3630952380952381,2,0.22171411294161536,0.0,nan
300,3,Oracle-state upper bound,0.743220468821817,0.8129251700680272,0.6229508196721312,46.0,0.8095238095238095,61.0,0.3630952380952381,nan,nan,nan,0.7857142857142857
300,4,DynVAR-Lasso,0.8727272727272727,0.8292682926829268,0.7454545454545455,28.0,0.8780487804878049,55.0,0.3273809523809524,nan,nan,nan,nan
300,4,STCG-v1,0.8872083668543845,0.9138211382113821,0.7818181818181819,24.0,0.926829268292683,55.0,0.3273809523809524,2,0.2179677048116628,0.0,nan
300,4,Oracle-state upper bound,0.8835076427996782,0.9365853658536586,0.7818181818181819,24.0,0.8536585365853658,55.0,0.3273809523809524,nan,nan,nan,0.7857142857142857
300,5,DynVAR-Lasso,0.8790812141099261,0.8757309941520468,0.6792452830188679,34.0,0.8421052631578947,53.0,0.31547619047619047,nan,nan,nan,nan
300,5,STCG-v1,0.8672682526661197,0.8698830409356725,0.7169811320754716,30.0,0.7631578947368421,53.0,0.31547619047619047,2,0.2521687202790666,0.0,nan
300,5,Oracle-state upper bound,0.8398687448728466,0.8757309941520468,0.6981132075471698,32.0,0.7894736842105263,53.0,0.31547619047619047,nan,nan,nan,0.7857142857142857
300,6,DynVAR-Lasso,0.8654668567355667,0.7891963109354414,0.5869565217391305,38.0,0.8181818181818182,46.0,0.27380952380952384,nan,nan,nan,nan
300,6,STCG-v1,0.8759800427655025,0.7865612648221344,0.6739130434782609,30.0,0.8787878787878788,46.0,0.27380952380952384,2,0.20032809809918295,0.0,nan
300,6,Oracle-state upper bound,0.8569137562366358,0.766798418972332,0.6086956521739131,36.0,0.7878787878787878,46.0,0.27380952380952384,nan,nan,nan,0.7857142857142857
300,7,DynVAR-Lasso,0.7534774593598123,0.8555555555555555,0.6274509803921569,38.0,0.75,51.0,0.30357142857142855,nan,nan,nan,nan
300,7,STCG-v1,0.7761018937489526,0.8763888888888889,0.6274509803921569,38.0,0.75,51.0,0.30357142857142855,2,0.22385403099912354,0.0,nan
300,7,Oracle-state upper bound,0.7846489022959611,0.9097222222222222,0.6274509803921569,38.0,0.8611111111111112,51.0,0.30357142857142855,nan,nan,nan,0.7857142857142857
300,8,DynVAR-Lasso,0.8029780564263322,0.6968325791855203,0.6724137931034483,38.0,0.8461538461538461,58.0,0.34523809523809523,nan,nan,nan,nan
300,8,STCG-v1,0.7992163009404388,0.7435897435897436,0.6551724137931034,40.0,0.7692307692307693,58.0,0.34523809523809523,2,0.21846062040971573,0.0,nan
300,8,Oracle-state upper bound,0.8177115987460815,0.7571644042232277,0.6379310344827587,42.0,0.8717948717948718,58.0,0.34523809523809523,nan,nan,nan,0.7857142857142857
300,9,DynVAR-Lasso,0.7963949843260189,0.8406432748538012,0.6379310344827587,42.0,0.7894736842105263,58.0,0.34523809523809523,nan,nan,nan,nan
300,9,STCG-v1,0.7942006269592476,0.8347953216374269,0.6551724137931034,40.0,0.7368421052631579,58.0,0.34523809523809523,2,0.2223481202994362,0.0,nan
300,9,Oracle-state upper bound,0.8040752351097179,0.8289473684210527,0.6379310344827587,42.0,0.8421052631578947,58.0,0.34523809523809523,nan,nan,nan,0.7857142857142857
600,0,DynVAR-Lasso,0.8103241296518607,0.8180555555555555,0.6530612244897959,34.0,0.8055555555555556,49.0,0.2916666666666667,nan,nan,nan,nan
600,0,STCG-v1,0.8197564740181787,0.8208333333333333,0.6326530612244898,36.0,0.7777777777777778,49.0,0.2916666666666667,2,0.2767963898797764,0.6597222222222223,nan
600,0,Oracle-state upper bound,0.8168410221231349,0.8319444444444445,0.6530612244897959,34.0,0.8055555555555556,49.0,0.2916666666666667,nan,nan,nan,0.9285714285714286
600,1,DynVAR-Lasso,0.849090318388564,0.9154471544715447,0.6481481481481481,38.0,0.8292682926829268,54.0,0.32142857142857145,nan,nan,nan,nan
600,1,STCG-v1,0.8802794022092267,0.9252032520325203,0.7407407407407407,28.0,0.8780487804878049,54.0,0.32142857142857145,2,0.3151372555191962,0.6597222222222223,nan
600,1,Oracle-state upper bound,0.8768680961663418,0.9577235772357724,0.7222222222222222,30.0,0.9024390243902439,54.0,0.32142857142857145,nan,nan,nan,0.9285714285714286
600,2,DynVAR-Lasso,0.8857758620689655,0.9171875,0.7692307692307693,24.0,0.7,52.0,0.30952380952380953,nan,nan,nan,nan
600,2,STCG-v1,0.8650530503978779,0.8828125,0.7307692307692307,28.0,0.7,52.0,0.30952380952380953,2,0.2599599797156757,0.6597222222222223,nan
600,2,Oracle-state upper bound,0.8650530503978779,0.8828125,0.7307692307692307,28.0,0.7,52.0,0.30952380952380953,nan,nan,nan,0.9285714285714286
600,3,DynVAR-Lasso,0.7574689750268117,0.8010204081632653,0.6229508196721312,46.0,0.7619047619047619,61.0,0.3630952380952381,nan,nan,nan,nan
600,3,STCG-v1,0.7671211889076145,0.7789115646258503,0.6229508196721312,46.0,0.8333333333333334,61.0,0.3630952380952381,2,0.2676069893796674,0.6597222222222223,nan
600,3,Oracle-state upper bound,0.7671211889076145,0.7789115646258503,0.6229508196721312,46.0,0.8333333333333334,61.0,0.3630952380952381,nan,nan,nan,0.9285714285714286
600,4,DynVAR-Lasso,0.9108608205953339,0.8292682926829268,0.7272727272727273,30.0,0.8780487804878049,55.0,0.3273809523809524,nan,nan,nan,nan
600,4,STCG-v1,0.9298471440064361,0.8796747967479674,0.8,22.0,0.9512195121951219,55.0,0.3273809523809524,2,0.29476103223926814,0.6597222222222223,nan
600,4,Oracle-state upper bound,0.9311343523732905,0.9056910569105691,0.7454545454545455,28.0,0.926829268292683,55.0,0.3273809523809524,nan,nan,nan,0.9285714285714286
600,5,DynVAR-Lasso,0.8907301066447908,0.8976608187134503,0.7735849056603774,24.0,0.8947368421052632,53.0,0.31547619047619047,nan,nan,nan,nan
600,5,STCG-v1,0.8999179655455292,0.9049707602339181,0.7924528301886793,22.0,0.8947368421052632,53.0,0.31547619047619047,2,0.28771744231594937,0.6597222222222223,nan
600,5,Oracle-state upper bound,0.9095980311730927,0.8903508771929824,0.7924528301886793,22.0,0.9473684210526315,53.0,0.31547619047619047,nan,nan,nan,0.9285714285714286
600,6,DynVAR-Lasso,0.8355310049893087,0.7918313570487484,0.6304347826086957,34.0,0.7878787878787878,46.0,0.27380952380952384,nan,nan,nan,nan
600,6,STCG-v1,0.845687811831789,0.7733860342555995,0.6739130434782609,30.0,0.7878787878787878,46.0,0.27380952380952384,2,0.25782109124048785,0.6597222222222223,nan
600,6,Oracle-state upper bound,0.845687811831789,0.7733860342555995,0.6739130434782609,30.0,0.7878787878787878,46.0,0.27380952380952384,nan,nan,nan,0.9285714285714286
600,7,DynVAR-Lasso,0.782973018267136,0.8680555555555556,0.6078431372549019,40.0,0.7777777777777778,51.0,0.30357142857142855,nan,nan,nan,nan
600,7,STCG-v1,0.8034188034188035,0.9125,0.6274509803921569,38.0,0.8055555555555556,51.0,0.30357142857142855,2,0.269871104013835,0.6597222222222223,nan
600,7,Oracle-state upper bound,0.8034188034188035,0.9125,0.6274509803921569,38.0,0.8055555555555556,51.0,0.30357142857142855,nan,nan,nan,0.9285714285714286
600,8,DynVAR-Lasso,0.8311912225705329,0.7903469079939668,0.6724137931034483,38.0,0.8717948717948718,58.0,0.34523809523809523,nan,nan,nan,nan
600,8,STCG-v1,0.8603448275862069,0.8536953242835595,0.7241379310344828,32.0,0.8974358974358975,58.0,0.34523809523809523,2,0.30227983761758803,0.6597222222222223,nan
600,8,Oracle-state upper bound,0.8603448275862069,0.8536953242835595,0.7241379310344828,32.0,0.8974358974358975,58.0,0.34523809523809523,nan,nan,nan,0.9285714285714286
600,9,DynVAR-Lasso,0.7998432601880878,0.8377192982456141,0.603448275862069,46.0,0.7631578947368421,58.0,0.34523809523809523,nan,nan,nan,nan
600,9,STCG-v1,0.7946708463949843,0.7529239766081871,0.603448275862069,46.0,0.7631578947368421,58.0,0.34523809523809523,2,0.2379316183053722,0.6597222222222223,nan
600,9,Oracle-state upper bound,0.8119122257053292,0.7807017543859649,0.6724137931034483,38.0,0.7894736842105263,58.0,0.34523809523809523,nan,nan,nan,0.9285714285714286
