generator,seed,method,edge_auc,pair_auc,precision_at_k,shd,lag_accuracy,true_edges,edge_density
switching_var,6,STCG-v1/forced-states+contrast,0.7941910192444761,0.7549407114624506,0.6304347826086957,34.0,0.8181818181818182,46.0,0.27380952380952384
switching_var,6,STCG-v1/state+contrast,0.7941910192444761,0.7549407114624506,0.6304347826086957,34.0,0.8181818181818182,46.0,0.27380952380952384
switching_var,7,VAR-Lasso (global),0.7699011228422993,0.8263888888888888,0.5686274509803921,44.0,0.6944444444444444,51.0,0.30357142857142855
switching_var,7,DynVAR-Lasso (window max),0.7161052455170103,0.7694444444444445,0.5098039215686274,50.0,0.6944444444444444,51.0,0.30357142857142855
switching_var,7,STCG-v1/no-state,0.7161052455170103,0.7694444444444445,0.5098039215686274,50.0,0.6944444444444444,51.0,0.30357142857142855
switching_var,7,STCG-v1/state-only,0.6924752807105748,0.7597222222222222,0.49019607843137253,52.0,0.6666666666666666,51.0,0.30357142857142855
switching_var,7,STCG-v1/forced-states+contrast,0.6924752807105748,0.7527777777777778,0.49019607843137253,52.0,0.6666666666666666,51.0,0.30357142857142855
switching_var,7,STCG-v1/state+contrast,0.6924752807105748,0.7527777777777778,0.49019607843137253,52.0,0.6666666666666666,51.0,0.30357142857142855
switching_var,8,VAR-Lasso (global),0.7123824451410659,0.6998491704374057,0.5172413793103449,56.0,0.717948717948718,58.0,0.34523809523809523
switching_var,8,DynVAR-Lasso (window max),0.752037617554859,0.7677224736048266,0.6379310344827587,42.0,0.7692307692307693,58.0,0.34523809523809523
switching_var,8,STCG-v1/no-state,0.752037617554859,0.7677224736048266,0.6379310344827587,42.0,0.7692307692307693,58.0,0.34523809523809523
switching_var,8,STCG-v1/state-only,0.7647335423197492,0.803921568627451,0.6379310344827587,42.0,0.7948717948717948,58.0,0.34523809523809523
switching_var,8,STCG-v1/forced-states+contrast,0.7581504702194357,0.8009049773755657,0.6379310344827587,42.0,0.8461538461538461,58.0,0.34523809523809523
switching_var,8,STCG-v1/state+contrast,0.7581504702194357,0.8009049773755657,0.6379310344827587,42.0,0.8461538461538461,58.0,0.34523809523809523
switching_var,9,VAR-Lasso (global),0.7142633228840125,0.7573099415204678,0.5689655172413793,50.0,0.6842105263157895,58.0,0.34523809523809523
switching_var,9,DynVAR-Lasso (window max),0.7421630094043887,0.7602339181286549,0.603448275862069,46.0,0.7105263157894737,58.0,0.34523809523809523
switching_var,9,STCG-v1/no-state,0.7421630094043887,0.7602339181286549,0.603448275862069,46.0,0.7105263157894737,58.0,0.34523809523809523
switching_var,9,STCG-v1/state-only,0.7540752351097179,0.7880116959064327,0.6206896551724138,44.0,0.7105263157894737,58.0,0.34523809523809523
switching_var,9,STCG-v1/forced-states+contrast,0.7493730407523511,0.8070175438596491,0.603448275862069,46.0,0.6842105263157895,58.0,0.34523809523809523
switching_var,9,STCG-v1/state+contrast,0.7493730407523511,0.8070175438596491,0.603448275862069,46.0,0.6842105263157895,58.0,0.34523809523809523
switching_var,10,VAR-Lasso (global),0.8017227235438884,0.8187134502923976,0.660377358490566,36.0,0.8421052631578947,53.0,0.31547619047619047
switching_var,10,DynVAR-Lasso (window max),0.7998359310910582,0.8026315789473685,0.6415094339622641,38.0,0.8157894736842105,53.0,0.31547619047619047
switching_var,10,STCG-v1/no-state,0.7998359310910582,0.8026315789473685,0.6415094339622641,38.0,0.8157894736842105,53.0,0.31547619047619047
switching_var,10,STCG-v1/state-only,0.8180475799835931,0.8611111111111112,0.660377358490566,36.0,0.8157894736842105,53.0,0.31547619047619047
switching_var,10,STCG-v1/forced-states+contrast,0.8159146841673502,0.8596491228070176,0.6415094339622641,38.0,0.7894736842105263,53.0,0.31547619047619047
switching_var,10,STCG-v1/state+contrast,0.8159146841673502,0.8596491228070176,0.6415094339622641,38.0,0.7894736842105263,53.0,0.31547619047619047
switching_var,11,VAR-Lasso (global),0.8193885760257442,0.7789115646258503,0.6545454545454545,38.0,0.7857142857142857,55.0,0.3273809523809524
switching_var,11,DynVAR-Lasso (window max),0.8038616251005631,0.7210884353741497,0.6545454545454545,38.0,0.7857142857142857,55.0,0.3273809523809524
switching_var,11,STCG-v1/no-state,0.8038616251005631,0.7210884353741497,0.6545454545454545,38.0,0.7857142857142857,55.0,0.3273809523809524
switching_var,11,STCG-v1/state-only,0.829444891391794,0.8163265306122449,0.7090909090909091,32.0,0.7857142857142857,55.0,0.3273809523809524
switching_var,11,STCG-v1/forced-states+contrast,0.8226870474658086,0.8027210884353742,0.7272727272727273,30.0,0.7380952380952381,55.0,0.3273809523809524
switching_var,11,STCG-v1/state+contrast,0.8226870474658086,0.8027210884353742,0.7272727272727273,30.0,0.7380952380952381,55.0,0.3273809523809524
switching_var,12,VAR-Lasso (global),0.8091293047433399,0.8583333333333333,0.6666666666666666,36.0,0.9166666666666666,54.0,0.32142857142857145
switching_var,12,DynVAR-Lasso (window max),0.8248862897985705,0.8666666666666667,0.6296296296296297,40.0,0.8888888888888888,54.0,0.32142857142857145
switching_var,12,STCG-v1/no-state,0.8248862897985705,0.8666666666666667,0.6296296296296297,40.0,0.8888888888888888,54.0,0.32142857142857145
switching_var,12,STCG-v1/state-only,0.8042560103963613,0.8583333333333333,0.6666666666666666,36.0,0.8333333333333334,54.0,0.32142857142857145
switching_var,12,STCG-v1/forced-states+contrast,0.7958089668615984,0.8611111111111112,0.6666666666666666,36.0,0.8333333333333334,54.0,0.32142857142857145
switching_var,12,STCG-v1/state+contrast,0.7958089668615984,0.8611111111111112,0.6666666666666666,36.0,0.8333333333333334,54.0,0.32142857142857145
switching_var,13,VAR-Lasso (global),0.7819749216300941,0.7853658536585366,0.6379310344827587,42.0,0.7804878048780488,58.0,0.34523809523809523
switching_var,13,DynVAR-Lasso (window max),0.8032915360501567,0.8341463414634146,0.6379310344827587,42.0,0.8536585365853658,58.0,0.34523809523809523
switching_var,13,STCG-v1/no-state,0.8032915360501567,0.8341463414634146,0.6379310344827587,42.0,0.8536585365853658,58.0,0.34523809523809523
switching_var,13,STCG-v1/state-only,0.8147335423197493,0.7934959349593496,0.6551724137931034,40.0,0.8536585365853658,58.0,0.34523809523809523
switching_var,13,STCG-v1/forced-states+contrast,0.8120689655172414,0.7967479674796748,0.6724137931034483,38.0,0.8048780487804879,58.0,0.34523809523809523
switching_var,13,STCG-v1/state+contrast,0.8120689655172414,0.7967479674796748,0.6724137931034483,38.0,0.8048780487804879,58.0,0.34523809523809523
switching_var,14,VAR-Lasso (global),0.7494654312188168,0.7129251700680272,0.5434782608695652,42.0,0.7142857142857143,46.0,0.27380952380952384
switching_var,14,DynVAR-Lasso (window max),0.8455096222380613,0.7782312925170068,0.6086956521739131,36.0,0.8285714285714286,46.0,0.27380952380952384
switching_var,14,STCG-v1/no-state,0.8455096222380613,0.7782312925170068,0.6086956521739131,36.0,0.8285714285714286,46.0,0.27380952380952384
switching_var,14,STCG-v1/state-only,0.8337491090520314,0.7387755102040816,0.6304347826086957,34.0,0.8571428571428571,46.0,0.27380952380952384
switching_var,14,STCG-v1/forced-states+contrast,0.8319672131147541,0.7401360544217687,0.6304347826086957,34.0,0.8571428571428571,46.0,0.27380952380952384
switching_var,14,STCG-v1/state+contrast,0.8319672131147541,0.7401360544217687,0.6304347826086957,34.0,0.8571428571428571,46.0,0.27380952380952384
switching_var,15,VAR-Lasso (global),0.7638987883107626,0.7799479166666666,0.5869565217391305,38.0,0.78125,46.0,0.27380952380952384
switching_var,15,DynVAR-Lasso (window max),0.7795794725588026,0.8255208333333334,0.6304347826086957,34.0,0.6875,46.0,0.27380952380952384
switching_var,15,STCG-v1/no-state,0.7795794725588026,0.8255208333333334,0.6304347826086957,34.0,0.6875,46.0,0.27380952380952384
switching_var,15,STCG-v1/state-only,0.7927655024946543,0.7877604166666666,0.6304347826086957,34.0,0.84375,46.0,0.27380952380952384
switching_var,15,STCG-v1/forced-states+contrast,0.7920527441197434,0.7903645833333334,0.6304347826086957,34.0,0.84375,46.0,0.27380952380952384
switching_var,15,STCG-v1/state+contrast,0.7920527441197434,0.7903645833333334,0.6304347826086957,34.0,0.84375,46.0,0.27380952380952384
switching_var,16,VAR-Lasso (global),0.7127153891859774,0.8050089445438283,0.6212121212121212,50.0,0.6744186046511628,66.0,0.39285714285714285
switching_var,16,DynVAR-Lasso (window max),0.7412358882947119,0.7549194991055456,0.6212121212121212,50.0,0.7209302325581395,66.0,0.39285714285714285
switching_var,16,STCG-v1/no-state,0.7412358882947119,0.7549194991055456,0.6212121212121212,50.0,0.7209302325581395,66.0,0.39285714285714285
switching_var,16,STCG-v1/state-only,0.7746583481877599,0.7906976744186046,0.696969696969697,40.0,0.7209302325581395,66.0,0.39285714285714285
switching_var,16,STCG-v1/forced-states+contrast,0.7694592988710636,0.8085867620751341,0.6666666666666666,44.0,0.7209302325581395,66.0,0.39285714285714285
switching_var,16,STCG-v1/state+contrast,0.7694592988710636,0.8085867620751341,0.6666666666666666,44.0,0.7209302325581395,66.0,0.39285714285714285
switching_var,17,VAR-Lasso (global),0.7678683385579937,0.85,0.603448275862069,46.0,0.8,58.0,0.34523809523809523
switching_var,17,DynVAR-Lasso (window max),0.8018808777429467,0.9265625,0.6724137931034483,38.0,0.825,58.0,0.34523809523809523
switching_var,17,STCG-v1/no-state,0.8018808777429467,0.9265625,0.6724137931034483,38.0,0.825,58.0,0.34523809523809523
switching_var,17,STCG-v1/state-only,0.8302507836990596,0.865625,0.7241379310344828,32.0,0.85,58.0,0.34523809523809523
switching_var,17,STCG-v1/forced-states+contrast,0.8252351097178683,0.86875,0.6896551724137931,36.0,0.825,58.0,0.34523809523809523
switching_var,17,STCG-v1/state+contrast,0.8252351097178683,0.86875,0.6896551724137931,36.0,0.825,58.0,0.34523809523809523
switching_var,18,VAR-Lasso (global),0.8352826510721247,0.8523391812865497,0.6666666666666666,36.0,0.8421052631578947,54.0,0.32142857142857145
switching_var,18,DynVAR-Lasso (window max),0.847953216374269,0.881578947368421,0.7222222222222222,30.0,0.8157894736842105,54.0,0.32142857142857145
switching_var,18,STCG-v1/no-state,0.847953216374269,0.881578947368421,0.7222222222222222,30.0,0.8157894736842105,54.0,0.32142857142857145
switching_var,18,STCG-v1/state-only,0.8786549707602339,0.9312865497076024,0.7222222222222222,30.0,0.9210526315789473,54.0,0.32142857142857145
switching_var,18,STCG-v1/forced-states+contrast,0.8801169590643275,0.9327485380116959,0.7037037037037037,32.0,0.9210526315789473,54.0,0.32142857142857145
switching_var,18,STCG-v1/state+contrast,0.8801169590643275,0.9327485380116959,0.7037037037037037,32.0,0.9210526315789473,54.0,0.32142857142857145
switching_var,19,VAR-Lasso (global),0.757303712720633,0.8146341463414634,0.6451612903225806,44.0,0.7804878048780488,62.0,0.36904761904761907
switching_var,19,DynVAR-Lasso (window max),0.8084297017650639,0.8260162601626017,0.6451612903225806,44.0,0.8292682926829268,62.0,0.36904761904761907
switching_var,19,STCG-v1/no-state,0.8084297017650639,0.8260162601626017,0.6451612903225806,44.0,0.8292682926829268,62.0,0.36904761904761907
switching_var,19,STCG-v1/state-only,0.8101034692635423,0.8373983739837398,0.6774193548387096,40.0,0.8536585365853658,62.0,0.36904761904761907
switching_var,19,STCG-v1/forced-states+contrast,0.8067559342665855,0.8211382113821138,0.6774193548387096,40.0,0.8292682926829268,62.0,0.36904761904761907
switching_var,19,STCG-v1/state+contrast,0.8067559342665855,0.8211382113821138,0.6774193548387096,40.0,0.8292682926829268,62.0,0.36904761904761907
